Indicator,Sex,Length_or_Height_cm,SD_neg3,SD_neg2,SD_neg1,Median,SD_pos1,SD_pos2,SD_pos3
Weight-for-height,Boy,91.5,10.5,11.3,12.2,13.2,14.4,15.6,17.0
Weight-for-height,Boy,92.0,10.6,11.4,12.3,13.4,14.5,15.8,17.2
Weight-for-height,Boy,92.5,10.7,11.5,12.4,13.5,14.6,15.9,17.3
Weight-for-height,Boy,93.0,10.8,11.6,12.6,13.6,14.7,16.0,17.5
Weight-for-height,Boy,93.5,10.9,11.7,12.7,13.7,14.9,16.2,17.6
Weight-for-height,Boy,94.0,11.0,11.8,12.8,13.8,15.0,16.3,17.8
Weight-for-height,Boy,94.5,11.1,11.9,12.9,13.9,15.1,16.5,17.9
Weight-for-height,Boy,95.0,11.1,12.0,13.0,14.1,15.3,16.6,18.1
Weight-for-height,Boy,95.5,11.2,12.1,13.1,14.2,15.4,16.7,18.3
Weight-for-height,Boy,96.0,11.3,12.2,13.2,14.3,15.5,16.9,18.4
Weight-for-height,Boy,96.5,11.4,12.3,13.3,14.4,15.7,17.0,18.6
Weight-for-height,Boy,97.0,11.5,12.4,13.4,14.6,15.8,17.2,18.8
Weight-for-height,Boy,97.5,11.6,12.5,13.6,14.7,15.9,17.4,18.9
Weight-for-height,Boy,98.0,11.7,12.6,13.7,14.8,16.1,17.5,19.1
Weight-for-height,Boy,98.5,11.8,12.8,13.8,14.9,16.2,17.7,19.3
Weight-for-height,Boy,99.0,11.9,12.9,13.9,15.1,16.4,17.9,19.5
Weight-for-height,Boy,99.5,12.0,13.0,14.0,15.2,16.5,18.0,19.7
Weight-for-height,Boy,100.0,12.1,13.1,14.2,15.4,16.7,18.2,19.9
Weight-for-height,Boy,100.5,12.2,13.2,14.3,15.5,16.9,18.4,20.1
Weight-for-height,Boy,101.0,12.3,13.3,14.4,15.6,17.0,18.5,20.3
Weight-for-height,Boy,101.5,12.4,13.4,14.5,15.8,17.2,18.7,20.5
Weight-for-height,Boy,102.0,12.5,13.6,14.7,15.9,17.3,18.9,20.7
Weight-for-height,Boy,102.5,12.6,13.7,14.8,16.1,17.5,19.1,20.9
Weight-for-height,Boy,103.0,12.8,13.8,14.9,16.2,17.7,19.3,21.1
Weight-for-height,Boy,103.5,12.9,13.9,15.1,16.4,17.8,19.5,21.3
Weight-for-height,Boy,104.0,13.0,14.0,15.2,16.5,18.0,19.7,21.6
Weight-for-height,Boy,104.5,13.1,14.2,15.4,16.7,18.2,19.9,21.8
Weight-for-height,Boy,105.0,13.2,14.3,15.5,16.8,18.4,20.1,22.0
Weight-for-height,Boy,105.5,13.3,14.4,15.6,17.0,18.5,20.3,22.2
Weight-for-height,Boy,106.0,13.4,14.5,15.8,17.2,18.7,20.5,22.5
Weight-for-height,Boy,106.5,13.5,14.7,15.9,17.3,18.9,20.7,22.7
Weight-for-height,Boy,107.0,13.7,14.8,16.1,17.5,19.1,20.9,22.9
Weight-for-height,Boy,107.5,13.8,14.9,16.2,17.7,19.3,21.1,23.2
Weight-for-height,Boy,108.0,13.9,15.1,16.4,17.8,19.5,21.3,23.4
Weight-for-height,Boy,108.5,14.0,15.2,16.5,18.0,19.7,21.5,23.7
Weight-for-height,Boy,109.0,14.1,15.3,16.7,18.2,19.8,21.8,23.9
Weight-for-height,Boy,109.5,14.3,15.5,16.8,18.3,20.0,22.0,24.2
Weight-for-height,Boy,110.0,14.4,15.6,17.0,18.5,20.2,22.2,24.4
Weight-for-height,Boy,110.5,14.5,15.8,17.1,18.7,20.4,22.4,24.7
Weight-for-height,Boy,111.0,14.6,15.9,17.3,18.9,20.7,22.7,25.0
Weight-for-height,Boy,111.5,14.8,16.0,17.5,19.1,20.9,22.9,25.2
Weight-for-height,Boy,112.0,14.9,16.2,17.6,19.2,21.1,23.1,25.5
Weight-for-height,Boy,112.5,15.0,16.3,17.8,19.4,21.3,23.4,25.8
Weight-for-height,Boy,113.0,15.2,16.5,18.0,19.6,21.5,23.6,26.0
Weight-for-height,Boy,113.5,15.3,16.6,18.1,19.8,21.7,23.9,26.3
Weight-for-height,Boy,114.0,15.4,16.8,18.3,20.0,21.9,24.1,26.6
Weight-for-height,Boy,114.5,15.6,16.9,18.5,20.2,22.1,24.4,26.9
Weight-for-height,Boy,115.0,15.7,17.1,18.6,20.4,22.4,24.6,27.2
Weight-for-height,Boy,115.5,15.8,17.2,18.8,20.6,22.6,24.9,27.5
Weight-for-height,Boy,116.0,16.0,17.4,19.0,20.8,22.8,25.1,27.8
Weight-for-height,Boy,116.5,16.1,17.5,19.2,21.0,23.0,25.4,28.0
Weight-for-height,Boy,117.0,16.2,17.7,19.3,21.2,23.3,25.6,28.3
Weight-for-height,Boy,117.5,16.4,17.9,19.5,21.4,23.5,25.9,28.6
Weight-for-height,Boy,118.0,16.5,18.0,19.7,21.6,23.7,26.1,28.9
Weight-for-height,Boy,118.5,16.7,18.2,19.9,21.8,23.9,26.4,29.2
Weight-for-height,Boy,119.0,16.8,18.3,20.0,22.0,24.1,26.6,29.5
Weight-for-height,Boy,119.5,16.9,18.5,20.2,22.2,24.4,26.9,29.8
Weight-for-height,Boy,120.0,17.1,18.6,20.4,22.4,24.6,27.2,30.1
Weight-for-height,Girl,65.0,5.6,6.1,6.6,7.2,7.9,8.7,9.7
Weight-for-height,Girl,65.5,5.7,6.2,6.7,7.4,8.1,8.9,9.8
Weight-for-height,Girl,66.0,5.8,6.3,6.8,7.5,8.2,9.0,10.0
Weight-for-height,Girl,66.5,5.8,6.4,6.9,7.6,8.3,9.1,10.1
Weight-for-height,Girl,67.0,5.9,6.4,7.0,7.7,8.4,9.3,10.2
Weight-for-height,Girl,67.5,6.0,6.5,7.1,7.8,8.5,9.4,10.4
Weight-for-height,Girl,68.0,6.1,6.6,7.2,7.9,8.7,9.5,10.5
Weight-for-height,Girl,68.5,6.2,6.7,7.3,8.0,8.8,9.7,10.7
Weight-for-height,Girl,69.0,6.3,6.8,7.4,8.1,8.9,9.8,10.8
Weight-for-height,Girl,69.5,6.3,6.9,7.5,8.2,9.0,9.9,10.9
Weight-for-height,Girl,70.0,6.4,7.0,7.6,8.3,9.1,10.0,11.1
Weight-for-height,Girl,70.5,6.5,7.1,7.7,8.4,9.2,10.1,11.2
Weight-for-height,Girl,71.0,6.6,7.1,7.8,8.5,9.3,10.3,11.3
Weight-for-height,Girl,71.5,6.7,7.2,7.9,8.6,9.4,10.4,11.5
Weight-for-height,Girl,72.0,6.7,7.3,8.0,8.7,9.5,10.5,11.6
Weight-for-height,Girl,72.5,6.8,7.4,8.1,8.8,9.7,10.6,11.7
Weight-for-height,Girl,73.0,6.9,7.5,8.1,8.9,9.8,10.7,11.8
Weight-for-height,Girl,73.5,7.0,7.6,8.2,9.0,9.9,10.8,12.0
Weight-for-height,Girl,74.0,7.0,7.6,8.3,9.1,10.0,11.0,12.1
Weight-for-height,Girl,74.5,7.1,7.7,8.4,9.2,10.1,11.1,12.2
Weight-for-height,Girl,75.0,7.2,7.8,8.5,9.3,10.2,11.2,12.3
Weight-for-height,Girl,75.5,7.2,7.9,8.6,9.4,10.3,11.3,12.5
Weight-for-height,Girl,76.0,7.3,8.0,8.7,9.5,10.4,11.4,12.6
Weight-for-height,Girl,76.5,7.4,8.0,8.7,9.6,10.5,11.5,12.7
Weight-for-height,Girl,77.0,7.5,8.1,8.8,9.6,10.6,11.6,12.8
Weight-for-height,Girl,77.5,7.5,8.2,8.9,9.7,10.7,11.7,12.9
Weight-for-height,Girl,78.0,7.6,8.3,9.0,9.8,10.8,11.8,13.1
Weight-for-height,Girl,78.5,7.7,8.4,9.1,9.9,10.9,12.0,13.2
Weight-for-height,Girl,79.0,7.8,8.4,9.2,10.0,11.0,12.1,13.3
Weight-for-height,Girl,79.5,7.8,8.5,9.3,10.1,11.1,12.2,13.4
Weight-for-height,Girl,80.0,7.9,8.6,9.4,10.2,11.2,12.3,13.6
Weight-for-height,Girl,80.5,8.0,8.7,9.5,10.3,11.3,12.4,13.7
Weight-for-height,Girl,81.0,8.1,8.8,9.6,10.4,11.4,12.6,13.9
Weight-for-height,Girl,81.5,8.2,8.9,9.7,10.6,11.6,12.7,14.0
Weight-for-height,Girl,82.0,8.3,9.0,9.8,10.7,11.7,12.8,14.1
Weight-for-height,Girl,82.5,8.4,9.1,9.9,10.8,11.8,13.0,14.3
Weight-for-height,Girl,83.0,8.5,9.2,10.0,10.9,11.9,13.1,14.5
Weight-for-height,Girl,83.5,8.5,9.3,10.1,11.0,12.1,13.3,14.6
Weight-for-height,Girl,84.0,8.6,9.4,10.2,11.1,12.2,13.4,14.8
Weight-for-height,Girl,84.5,8.7,9.5,10.3,11.3,12.3,13.5,14.9
Weight-for-height,Girl,85.0,8.8,9.6,10.4,11.4,12.5,13.7,15.1
Weight-for-height,Girl,85.5,8.9,9.7,10.6,11.5,12.6,13.8,15.3
Weight-for-height,Girl,86.0,9.0,9.8,10.7,11.6,12.7,14.0,15.4
Weight-for-height,Girl,86.5,9.1,9.9,10.8,11.8,12.9,14.2,15.6
Weight-for-height,Girl,87.0,9.2,10.0,10.9,11.9,13.0,14.3,15.8
Weight-for-height,Girl,87.5,9.3,10.1,11.0,12.0,13.2,14.5,15.9
Weight-for-height,Girl,88.0,9.4,10.2,11.1,12.1,13.3,14.6,16.1
Weight-for-height,Girl,88.5,9.5,10.3,11.2,12.3,13.4,14.8,16.3
Weight-for-height,Girl,89.0,9.6,10.4,11.4,12.4,13.6,14.9,16.4
Weight-for-height,Girl,89.5,9.7,10.5,11.5,12.5,13.7,15.1,16.6
Weight-for-height,Girl,90.0,9.8,10.6,11.6,12.6,13.8,15.2,16.8
Weight-for-height,Girl,90.5,9.9,10.7,11.7,12.8,14.0,15.4,16.9
Weight-for-height,Girl,91.0,10.0,10.9,11.8,12.9,14.1,15.5,17.1
Weight-for-height,Girl,91.5,10.1,11.0,11.9,13.0,14.3,15.7,17.3
Weight-for-height,Girl,92.0,10.2,11.1,12.0,13.1,14.4,15.8,17.4
Weight-for-height,Girl,92.5,10.3,11.2,12.1,13.3,14.5,16.0,17.6
Weight-for-height,Girl,93.0,10.4,11.3,12.3,13.4,14.7,16.1,17.8
Weight-for-height,Girl,93.5,10.5,11.4,12.4,13.5,14.8,16.3,17.9
Weight-for-height,Girl,94.0,10.6,11.5,12.5,13.6,14.9,16.4,18.1
Weight-for-height,Girl,94.5,10.7,11.6,12.6,13.8,15.1,16.6,18.3
Weight-for-height,Girl,95.0,10.8,11.7,12.7,13.9,15.2,16.7,18.5
Weight-for-height,Girl,95.5,10.8,11.8,12.8,14.0,15.4,16.9,18.6
Weight-for-height,Girl,96.0,10.9,11.9,12.9,14.1,15.5,17.0,18.8
Weight-for-height,Girl,96.5,11.0,12.0,13.1,14.3,15.6,17.2,19.0
Weight-for-height,Girl,97.0,11.1,12.1,13.2,14.4,15.8,17.4,19.2
Weight-for-height,Girl,97.5,11.2,12.2,13.3,14.5,15.9,17.5,19.3
Weight-for-height,Girl,98.0,11.3,12.3,13.4,14.7,16.1,17.7,19.5
Weight-for-height,Girl,98.5,11.4,12.4,13.5,14.8,16.2,17.9,19.7
Weight-for-height,Girl,99.0,11.5,12.5,13.7,14.9,16.4,18.0,19.9
Weight-for-height,Girl,99.5,11.6,12.7,13.8,15.1,16.5,18.2,20.1
Weight-for-height,Girl,100.0,11.7,12.8,13.9,15.2,16.7,18.4,20.3
Weight-for-height,Girl,100.5,11.9,12.9,14.1,15.4,16.9,18.6,20.5
Weight-for-height,Girl,101.0,12.0,13.0,14.2,15.5,17.0,18.7,20.7
Weight-for-height,Girl,101.5,12.1,13.1,14.3,15.7,17.2,18.9,20.9
Weight-for-height,Girl,102.0,12.2,13.3,14.5,15.8,17.4,19.1,21.1
Weight-for-height,Girl,102.5,12.3,13.4,14.6,16.0,17.5,19.3,21.4
Weight-for-height,Girl,103.0,12.4,13.5,14.7,16.1,17.7,19.5,21.6
Weight-for-height,Girl,103.5,12.5,13.6,14.9,16.3,17.9,19.7,21.8
Weight-for-height,Girl,104.0,12.6,13.8,15.0,16.4,18.1,19.9,22.0
Weight-for-height,Girl,104.5,12.8,13.9,15.2,16.6,18.2,20.1,22.3
Weight-for-height,Girl,105.0,12.9,14.0,15.3,16.8,18.4,20.3,22.5
Weight-for-height,Girl,105.5,13.0,14.2,15.5,16.9,18.6,20.5,22.7
Weight-for-height,Girl,106.0,13.1,14.3,15.6,17.1,18.8,20.8,23.0
Weight-for-height,Girl,106.5,13.3,14.5,15.8,17.3,19.0,21.0,23.2
Weight-for-height,Girl,107.0,13.4,14.6,15.9,17.5,19.2,21.2,23.5
Weight-for-height,Girl,107.5,13.5,14.7,16.1,17.7,19.4,21.4,23.7
Weight-for-height,Girl,108.0,13.7,14.9,16.3,17.8,19.6,21.7,24.0
Weight-for-height,Girl,108.5,13.8,15.0,16.4,18.0,19.8,21.9,24.3
Weight-for-height,Girl,109.0,13.9,15.2,16.6,18.2,20.0,22.1,24.5
Weight-for-height,Girl,109.5,14.1,15.4,16.8,18.4,20.3,22.4,24.8
Weight-for-height,Girl,110.0,14.2,15.5,17.0,18.6,20.5,22.6,25.1
Weight-for-height,Girl,110.5,14.4,15.7,17.1,18.8,20.7,22.9,25.4
Weight-for-height,Girl,111.0,14.5,15.8,17.3,19.0,20.9,23.1,25.7
Weight-for-height,Girl,111.5,14.7,16.0,17.5,19.2,21.2,23.4,26.0
Weight-for-height,Girl,112.0,14.8,16.2,17.7,19.4,21.4,23.6,26.2
Weight-for-height,Girl,112.5,15.0,16.3,17.9,19.6,21.6,23.9,26.5
Weight-for-height,Girl,113.0,15.1,16.5,18.0,19.8,21.8,24.2,26.8
Weight-for-height,Girl,113.5,15.3,16.7,18.2,20.0,22.1,24.4,27.1
Weight-for-height,Girl,114.0,15.4,16.8,18.4,20.2,22.3,24.7,27.4
Weight-for-height,Girl,114.5,15.6,17.0,18.6,20.5,22.6,25.0,27.8
Weight-for-height,Girl,115.0,15.7,17.2,18.8,20.7,22.8,25.2,28.1
Weight-for-height,Girl,115.5,15.9,17.3,19.0,20.9,23.0,25.5,28.4
Weight-for-height,Girl,116.0,16.0,17.5,19.2,21.1,23.3,25.8,28.7
Weight-for-height,Girl,116.5,16.2,17.7,19.4,21.3,23.5,26.1,29.0
Weight-for-height,Girl,117.0,16.3,17.8,19.6,21.5,23.8,26.3,29.3
Weight-for-height,Girl,117.5,16.5,18.0,19.8,21.7,24.0,26.6,29.6
Weight-for-height,Girl,118.0,16.6,18.2,19.9,22.0,24.2,26.9,29.9
Weight-for-height,Girl,118.5,16.8,18.4,20.1,22.2,24.5,27.2,30.3
Weight-for-height,Girl,119.0,16.9,18.5,20.3,22.4,24.7,27.4,30.6
Weight-for-height,Girl,119.5,17.1,18.7,20.5,22.6,25.0,27.7,30.9
Weight-for-height,Girl,120.0,17.3,18.9,20.7,22.8,25.2,28.0,31.2
